Time,LeftTorque,LeftVelocity
59.091914,-0.287885,-540.249217
59.092933,-0.319637,-545.904083
59.093933,-0.298469,-549.883434
59.094933,-0.276786,-553.548626
59.095915,-0.293377,-559.517652
59.096933,-0.313687,-562.554525
59.097933,-0.306422,-569.361309
59.098933,-0.296505,-573.968978
59.099915,-0.298565,-576.168093
59.100933,-0.294484,-579.938004
59.101933,-0.278827,-582.346558
59.102933,-0.307585,-588.001425
59.103915,-0.297439,-592.399655
59.104933,-0.296372,-593.970451
59.105933,-0.300662,-602.452751
59.106933,-0.306879,-606.641541
59.107915,-0.297497,-607.898178
59.108933,-0.301559,-617.113517
59.109933,-0.292233,-616.485198
59.110933,-0.292462,-620.464549
59.111914,-0.297039,-627.690212
59.112933,-0.300681,-628.52797
59.113933,-0.311818,-636.381952
59.114933,-0.274498,-636.696111
59.115914,-0.310331,-642.560417
59.116933,-0.297973,-648.005845
59.117933,-0.324863,-649.99552
59.118933,-0.287809,-658.3731
59.119915,-0.281249,-659.210858
59.120933,-0.295704,-663.399649
59.121933,-0.270055,-667.378999
59.122933,-0.281783,-669.996993
59.123915,-0.266927,-676.070739
59.124933,-0.267041,-678.688733
59.125933,-0.284872,-685.495517
59.126933,-0.244882,-688.113511
59.127915,-0.276748,-692.092862
59.128933,0.10626,-694.920295
59.129933,-0.252014,-698.480767
59.130933,-0.232772,-701.936519
59.131914,-0.240629,-704.135633
59.132933,-0.230426,-710.523538
59.133933,-0.213492,-710.523538
59.134933,-0.219022,-719.529437
59.135914,-0.219022,-719.529437
59.136933,-0.232677,-727.802298
59.137933,-0.223123,-726.96454
59.138933,-0.144305,-732.828846
59.139915,-0.226612,-734.399643
59.140933,-0.222302,-736.179878
59.141933,-0.216906,-742.463064
59.142933,-0.223103,-744.03386
59.143915,-0.213721,-748.013211
59.144933,-0.209869,-753.249199
59.145933,-0.217115,-753.458638
59.146933,-0.195432,-756.286071
59.147915,-0.178555,-758.275747
59.148933,-0.200143,-761.731499
59.149933,-0.179528,-763.721174
59.150933,-0.202774,-769.061882
59.151914,-0.212157,-772.727073
59.152933,-0.218298,-774.297869
59.153933,-0.204262,-777.125303
59.154933,-0.225106,-778.38194
59.155914,-0.205444,-780.581055
59.156933,-0.220395,-783.722647
59.157933,-0.195413,-786.550081
59.158933,-0.201096,-790.94831
59.159916,-0.170813,-793.985183
59.160933,-0.148253,-796.393738
59.161933,-0.118636,-799.011732
59.162933,-0.085816,-798.173974
59.163916,-0.042489,-797.964534
59.164933,-0.011042,-799.64005
59.165933,0.013311,-800.791967
59.166998,0.054751,-801.420286
59.167913,0.079466,-801.839165
59.168933,0.129697,-798.802292
59.169997,0.176019,-797.545655
59.170933,0.214198,-794.822941
59.171915,0.255618,-790.215272
59.172933,0.296047,-786.96896
59.173933,0.30215,-782.78017
59.174933,0.322574,-779.324418
59.175914,0.335618,-776.706424
59.176933,0.383389,-771.156277
59.177933,0.393973,-765.710849
59.178933,0.348815,-760.265422
59.179914,0.322689,-752.62088
59.180933,0.322898,-749.479287
59.181933,0.29866,-743.824421
59.182933,0.300624,-740.787548
59.183915,0.316395,-737.017637
59.184933,0.347728,-731.991088
59.185933,0.380872,-727.383419
59.186933,0.326236,-722.356871
59.187914,0.274689,-717.749202
59.188933,0.319675,-713.769851
59.189933,0.351427,-709.7905
59.190933,0.269692,-705.70643
59.191915,0.302836,-704.973391
59.192933,0.326464,-699.318525
59.193933,0.260767,-697.957168
59.194933,0.335847,-692.092862
59.195914,0.27219,-687.066313
59.196933,0.321392,-683.086963
59.197933,0.271218,-678.479293
59.198933,0.33436,-676.280179
59.199914,0.323261,-671.672509
59.200933,0.278465,-666.436522
59.201933,0.32717,-661.828852
59.202933,0.255981,-658.163661
59.203915,0.281706,-653.555992
59.204933,0.32923,-649.786081
59.205933,0.280505,-646.958647
59.206933,0.254455,-643.188736
59.207915,0.303294,-637.743309
59.208933,0.338803,-634.706436
59.209933,0.319351,-632.507321
59.210933,0.269768,-627.690212
59.211915,0.249764,-624.33918
59.212933,0.253788,-620.25511
59.213933,0.24574,-615.123842
59.214933,0.257811,-611.877529
59.215916,0.270665,-608.840656
59.216932,0.257888,-604.651866
59.217933,0.260462,-599.206439
59.218933,0.255523,-596.064846
59.219914,0.236262,-593.237413
59.220933,0.26727,-587.791985
59.221933,0.303141,-587.163667
59.222933,0.339299,-583.393756
59.223914,0.321182,-576.168093
59.224933,0.262426,-573.968978
59.225933,0.271904,-568.73299
59.226999,0.335027,-564.125321
59.227915,0.34277,-561.926206
59.229004,0.255103,-556.690218
59.229933,0.314298,-552.291989
59.230933,0.302913,-550.511753
59.231968,0.318855,-544.123848
59.232933,0.305392,-542.867211
59.233933,0.279647,-539.097299
59.234933,0.253826,-532.604675
59.235919,0.292634,-532.290515
59.236933,0.349482,-526.426209
59.237933,0.327094,-520.771342
59.238933,0.288133,-517.42031
59.239914,0.266012,-512.812641
59.240933,0.335675,-508.204972
59.241933,0.334188,-505.796417
59.242933,0.290002,-503.597302
59.243914,0.26174,-498.361315
59.244933,0.299289,-495.743321
59.245933,0.345058,-490.926212
59.246933,0.304076,-486.318543
59.247914,0.257258,-481.082555
59.248933,0.247323,-477.103204
